time,container,name,cpu,mem,pids
1757259050,37f0189a4b42,software_architecture_assigment1-redis-1,1.15%,9.359MiB / 3.828GiB,6
1757259058,20e74b0236e8,friendly_agnesi,2.89%,15.36MiB / 3.828GiB,13
1757259058,bde3b1a58e27,software_architecture_assigment1-app-1,0.48%,11.22MiB / 3.828GiB,13
1757259058,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259058,37f0189a4b42,software_architecture_assigment1-redis-1,0.93%,9.609MiB / 3.828GiB,6
1757259065,20e74b0236e8,friendly_agnesi,1.50%,15.4MiB / 3.828GiB,13
1757259065,bde3b1a58e27,software_architecture_assigment1-app-1,0.37%,10.98MiB / 3.828GiB,13
1757259065,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259065,37f0189a4b42,software_architecture_assigment1-redis-1,0.93%,9.359MiB / 3.828GiB,6
1757259073,20e74b0236e8,friendly_agnesi,1.71%,15.4MiB / 3.828GiB,13
1757259073,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.98MiB / 3.828GiB,13
1757259073,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259073,37f0189a4b42,software_architecture_assigment1-redis-1,0.95%,9.359MiB / 3.828GiB,6
1757259080,20e74b0236e8,friendly_agnesi,1.54%,15.41MiB / 3.828GiB,13
1757259080,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,11.23MiB / 3.828GiB,13
1757259080,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259080,37f0189a4b42,software_architecture_assigment1-redis-1,1.04%,9.359MiB / 3.828GiB,6
1757259088,20e74b0236e8,friendly_agnesi,1.34%,15.43MiB / 3.828GiB,13
1757259088,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.98MiB / 3.828GiB,13
1757259088,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259088,37f0189a4b42,software_architecture_assigment1-redis-1,0.99%,9.613MiB / 3.828GiB,6
1757259095,20e74b0236e8,friendly_agnesi,1.46%,15.44MiB / 3.828GiB,13
1757259095,bde3b1a58e27,software_architecture_assigment1-app-1,0.45%,10.98MiB / 3.828GiB,13
1757259095,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259095,37f0189a4b42,software_architecture_assigment1-redis-1,1.21%,9.609MiB / 3.828GiB,6
1757259103,20e74b0236e8,friendly_agnesi,1.38%,15.46MiB / 3.828GiB,13
1757259103,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,10.98MiB / 3.828GiB,13
1757259103,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259103,37f0189a4b42,software_architecture_assigment1-redis-1,1.31%,9.359MiB / 3.828GiB,6
1757259110,20e74b0236e8,friendly_agnesi,1.65%,15.5MiB / 3.828GiB,13
1757259110,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,11.22MiB / 3.828GiB,13
1757259110,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259110,37f0189a4b42,software_architecture_assigment1-redis-1,1.14%,9.363MiB / 3.828GiB,6
1757259118,20e74b0236e8,friendly_agnesi,1.58%,15.5MiB / 3.828GiB,13
1757259118,bde3b1a58e27,software_architecture_assigment1-app-1,0.35%,10.98MiB / 3.828GiB,13
1757259118,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259118,37f0189a4b42,software_architecture_assigment1-redis-1,1.10%,9.359MiB / 3.828GiB,6
1757259125,20e74b0236e8,friendly_agnesi,2.00%,15.54MiB / 3.828GiB,13
1757259125,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.98MiB / 3.828GiB,13
1757259125,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259125,37f0189a4b42,software_architecture_assigment1-redis-1,1.79%,9.359MiB / 3.828GiB,6
1757259133,20e74b0236e8,friendly_agnesi,1.75%,15.55MiB / 3.828GiB,13
1757259133,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.98MiB / 3.828GiB,13
1757259133,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259133,37f0189a4b42,software_architecture_assigment1-redis-1,1.10%,9.363MiB / 3.828GiB,6
1757259140,20e74b0236e8,friendly_agnesi,1.48%,16.3MiB / 3.828GiB,13
1757259140,bde3b1a58e27,software_architecture_assigment1-app-1,0.43%,11.22MiB / 3.828GiB,13
1757259140,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259140,37f0189a4b42,software_architecture_assigment1-redis-1,1.21%,9.859MiB / 3.828GiB,6
1757259148,20e74b0236e8,friendly_agnesi,1.49%,16.3MiB / 3.828GiB,13
1757259148,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,11.23MiB / 3.828GiB,13
1757259148,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259148,37f0189a4b42,software_architecture_assigment1-redis-1,1.13%,9.359MiB / 3.828GiB,6
1757259155,20e74b0236e8,friendly_agnesi,1.46%,16.3MiB / 3.828GiB,13
1757259155,bde3b1a58e27,software_architecture_assigment1-app-1,0.56%,10.98MiB / 3.828GiB,13
1757259155,6cd3710eac22,traefik,0.33%,60.3MiB / 3.828GiB,14
1757259155,37f0189a4b42,software_architecture_assigment1-redis-1,1.17%,9.609MiB / 3.828GiB,6
1757259163,20e74b0236e8,friendly_agnesi,2.04%,16.3MiB / 3.828GiB,13
1757259163,bde3b1a58e27,software_architecture_assigment1-app-1,0.43%,10.98MiB / 3.828GiB,13
1757259163,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259163,37f0189a4b42,software_architecture_assigment1-redis-1,1.03%,9.609MiB / 3.828GiB,6
1757259170,20e74b0236e8,friendly_agnesi,2.44%,16.3MiB / 3.828GiB,13
1757259170,bde3b1a58e27,software_architecture_assigment1-app-1,0.41%,11.22MiB / 3.828GiB,13
1757259170,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259170,37f0189a4b42,software_architecture_assigment1-redis-1,1.19%,9.609MiB / 3.828GiB,6
1757259178,20e74b0236e8,friendly_agnesi,1.31%,16.3MiB / 3.828GiB,13
1757259178,bde3b1a58e27,software_architecture_assigment1-app-1,0.36%,11.22MiB / 3.828GiB,13
1757259178,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259178,37f0189a4b42,software_architecture_assigment1-redis-1,1.14%,9.609MiB / 3.828GiB,6
1757259185,20e74b0236e8,friendly_agnesi,1.30%,16.3MiB / 3.828GiB,13
1757259185,bde3b1a58e27,software_architecture_assigment1-app-1,0.55%,10.98MiB / 3.828GiB,13
1757259185,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259185,37f0189a4b42,software_architecture_assigment1-redis-1,1.01%,9.609MiB / 3.828GiB,6
1757259193,20e74b0236e8,friendly_agnesi,1.75%,16.55MiB / 3.828GiB,13
1757259193,bde3b1a58e27,software_architecture_assigment1-app-1,1.32%,11.23MiB / 3.828GiB,13
1757259193,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259193,37f0189a4b42,software_architecture_assigment1-redis-1,0.95%,9.359MiB / 3.828GiB,6
1757259201,20e74b0236e8,friendly_agnesi,1.76%,16.3MiB / 3.828GiB,13
1757259201,bde3b1a58e27,software_architecture_assigment1-app-1,0.51%,10.98MiB / 3.828GiB,13
1757259201,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259201,37f0189a4b42,software_architecture_assigment1-redis-1,1.03%,9.609MiB / 3.828GiB,6
1757259208,20e74b0236e8,friendly_agnesi,1.45%,16.3MiB / 3.828GiB,13
1757259208,bde3b1a58e27,software_architecture_assigment1-app-1,0.33%,10.98MiB / 3.828GiB,13
1757259208,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259208,37f0189a4b42,software_architecture_assigment1-redis-1,0.99%,9.609MiB / 3.828GiB,6
1757259215,20e74b0236e8,friendly_agnesi,1.47%,16.31MiB / 3.828GiB,13
1757259215,bde3b1a58e27,software_architecture_assigment1-app-1,0.35%,10.98MiB / 3.828GiB,13
1757259215,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259215,37f0189a4b42,software_architecture_assigment1-redis-1,1.16%,9.609MiB / 3.828GiB,6
1757259223,20e74b0236e8,friendly_agnesi,1.40%,16.31MiB / 3.828GiB,13
1757259223,bde3b1a58e27,software_architecture_assigment1-app-1,0.38%,11.23MiB / 3.828GiB,13
1757259223,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259223,37f0189a4b42,software_architecture_assigment1-redis-1,0.95%,9.609MiB / 3.828GiB,6
1757259231,20e74b0236e8,friendly_agnesi,1.28%,16.31MiB / 3.828GiB,13
1757259231,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.98MiB / 3.828GiB,13
1757259231,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259231,37f0189a4b42,software_architecture_assigment1-redis-1,1.11%,9.359MiB / 3.828GiB,6
1757259238,20e74b0236e8,friendly_agnesi,1.45%,16.31MiB / 3.828GiB,13
1757259238,bde3b1a58e27,software_architecture_assigment1-app-1,0.48%,10.98MiB / 3.828GiB,13
1757259238,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259238,37f0189a4b42,software_architecture_assigment1-redis-1,1.12%,9.359MiB / 3.828GiB,6
1757259245,20e74b0236e8,friendly_agnesi,2.48%,16.32MiB / 3.828GiB,13
1757259245,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,11.23MiB / 3.828GiB,13
1757259245,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259245,37f0189a4b42,software_architecture_assigment1-redis-1,1.01%,9.359MiB / 3.828GiB,6
