time,container,name,cpu,mem,pids
1757257086,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.71MiB / 3.828GiB,14
1757257086,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257086,37f0189a4b42,software_architecture_assigment1-redis-1,1.46%,9.363MiB / 3.828GiB,6
1757257086,9eed660b040b,romantic_almeida,0.65%,11.35MiB / 3.828GiB,10
1757257093,9eed660b040b,romantic_almeida,1.79%,12.32MiB / 3.828GiB,10
1757257093,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.71MiB / 3.828GiB,14
1757257093,6cd3710eac22,traefik,0.00%,35.19MiB / 3.828GiB,10
1757257093,37f0189a4b42,software_architecture_assigment1-redis-1,1.19%,9.609MiB / 3.828GiB,6
1757257101,9eed660b040b,romantic_almeida,1.03%,12.58MiB / 3.828GiB,13
1757257101,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.71MiB / 3.828GiB,14
1757257101,6cd3710eac22,traefik,0.00%,35.19MiB / 3.828GiB,10
1757257101,37f0189a4b42,software_architecture_assigment1-redis-1,1.24%,9.359MiB / 3.828GiB,6
1757257109,9eed660b040b,romantic_almeida,0.89%,12.67MiB / 3.828GiB,13
1757257109,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.71MiB / 3.828GiB,14
1757257109,6cd3710eac22,traefik,0.00%,35.19MiB / 3.828GiB,10
1757257109,37f0189a4b42,software_architecture_assigment1-redis-1,1.23%,9.359MiB / 3.828GiB,6
1757257115,9eed660b040b,romantic_almeida,0.80%,12.68MiB / 3.828GiB,13
1757257115,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.73MiB / 3.828GiB,14
1757257115,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257115,37f0189a4b42,software_architecture_assigment1-redis-1,1.03%,9.359MiB / 3.828GiB,6
1757257123,9eed660b040b,romantic_almeida,0.76%,12.59MiB / 3.828GiB,13
1757257123,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.73MiB / 3.828GiB,14
1757257123,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257123,37f0189a4b42,software_architecture_assigment1-redis-1,1.17%,9.359MiB / 3.828GiB,6
1757257131,9eed660b040b,romantic_almeida,0.65%,12.61MiB / 3.828GiB,13
1757257131,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.73MiB / 3.828GiB,14
1757257131,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257131,37f0189a4b42,software_architecture_assigment1-redis-1,1.19%,9.609MiB / 3.828GiB,6
1757257138,9eed660b040b,romantic_almeida,0.83%,12.61MiB / 3.828GiB,13
1757257138,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.73MiB / 3.828GiB,14
1757257138,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257138,37f0189a4b42,software_architecture_assigment1-redis-1,1.27%,9.609MiB / 3.828GiB,6
1757257145,9eed660b040b,romantic_almeida,0.75%,13.07MiB / 3.828GiB,13
1757257145,bde3b1a58e27,software_architecture_assigment1-app-1,0.23%,10.75MiB / 3.828GiB,14
1757257145,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257145,37f0189a4b42,software_architecture_assigment1-redis-1,1.03%,9.359MiB / 3.828GiB,6
1757257153,9eed660b040b,romantic_almeida,2.64%,14.32MiB / 3.828GiB,13
1757257153,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.74MiB / 3.828GiB,14
1757257153,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257153,37f0189a4b42,software_architecture_assigment1-redis-1,1.21%,9.359MiB / 3.828GiB,6
1757257161,9eed660b040b,romantic_almeida,0.86%,13.46MiB / 3.828GiB,13
1757257161,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.74MiB / 3.828GiB,14
1757257161,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257161,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.359MiB / 3.828GiB,6
1757257168,9eed660b040b,romantic_almeida,0.86%,13.36MiB / 3.828GiB,13
1757257168,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.74MiB / 3.828GiB,14
1757257168,6cd3710eac22,traefik,0.00%,35.2MiB / 3.828GiB,10
1757257168,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.359MiB / 3.828GiB,6
1757257175,9eed660b040b,romantic_almeida,2.06%,13.43MiB / 3.828GiB,13
1757257175,bde3b1a58e27,software_architecture_assigment1-app-1,0.16%,10.74MiB / 3.828GiB,14
1757257175,6cd3710eac22,traefik,0.00%,35.53MiB / 3.828GiB,10
1757257175,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.609MiB / 3.828GiB,6
1757257183,9eed660b040b,romantic_almeida,0.77%,13.42MiB / 3.828GiB,13
1757257183,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.74MiB / 3.828GiB,14
1757257183,6cd3710eac22,traefik,0.00%,35.52MiB / 3.828GiB,10
1757257183,37f0189a4b42,software_architecture_assigment1-redis-1,1.28%,9.609MiB / 3.828GiB,6
1757257191,9eed660b040b,romantic_almeida,0.64%,13.42MiB / 3.828GiB,13
1757257191,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.74MiB / 3.828GiB,14
1757257191,6cd3710eac22,traefik,0.00%,35.52MiB / 3.828GiB,10
1757257191,37f0189a4b42,software_architecture_assigment1-redis-1,1.36%,9.609MiB / 3.828GiB,6
1757257198,9eed660b040b,romantic_almeida,0.85%,13.45MiB / 3.828GiB,13
1757257198,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.74MiB / 3.828GiB,14
1757257198,6cd3710eac22,traefik,0.00%,35.52MiB / 3.828GiB,10
1757257198,37f0189a4b42,software_architecture_assigment1-redis-1,1.28%,9.359MiB / 3.828GiB,6
1757257205,9eed660b040b,romantic_almeida,1.70%,13.45MiB / 3.828GiB,13
1757257205,bde3b1a58e27,software_architecture_assigment1-app-1,0.36%,10.75MiB / 3.828GiB,14
1757257205,6cd3710eac22,traefik,0.01%,35.54MiB / 3.828GiB,10
1757257205,37f0189a4b42,software_architecture_assigment1-redis-1,1.29%,9.609MiB / 3.828GiB,6
1757257213,9eed660b040b,romantic_almeida,0.86%,13.45MiB / 3.828GiB,13
1757257213,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257213,6cd3710eac22,traefik,0.00%,35.54MiB / 3.828GiB,10
1757257213,37f0189a4b42,software_architecture_assigment1-redis-1,1.40%,9.359MiB / 3.828GiB,6
1757257221,9eed660b040b,romantic_almeida,0.76%,13.7MiB / 3.828GiB,13
1757257221,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257221,6cd3710eac22,traefik,0.00%,35.54MiB / 3.828GiB,10
1757257221,37f0189a4b42,software_architecture_assigment1-redis-1,1.24%,9.609MiB / 3.828GiB,6
1757257228,9eed660b040b,romantic_almeida,0.84%,13.45MiB / 3.828GiB,13
1757257228,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257228,6cd3710eac22,traefik,0.00%,35.54MiB / 3.828GiB,10
1757257228,37f0189a4b42,software_architecture_assigment1-redis-1,1.35%,9.609MiB / 3.828GiB,6
1757257235,9eed660b040b,romantic_almeida,0.77%,13.45MiB / 3.828GiB,13
1757257235,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257235,6cd3710eac22,traefik,0.83%,35.54MiB / 3.828GiB,10
1757257235,37f0189a4b42,software_architecture_assigment1-redis-1,1.35%,9.359MiB / 3.828GiB,6
1757257243,9eed660b040b,romantic_almeida,0.91%,13.46MiB / 3.828GiB,13
1757257243,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257243,6cd3710eac22,traefik,0.00%,35.54MiB / 3.828GiB,10
1757257243,37f0189a4b42,software_architecture_assigment1-redis-1,1.39%,9.609MiB / 3.828GiB,6
1757257251,9eed660b040b,romantic_almeida,0.87%,13.45MiB / 3.828GiB,13
1757257251,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257251,6cd3710eac22,traefik,0.00%,35.54MiB / 3.828GiB,10
1757257251,37f0189a4b42,software_architecture_assigment1-redis-1,1.18%,9.609MiB / 3.828GiB,6
1757257258,9eed660b040b,romantic_almeida,2.33%,13.7MiB / 3.828GiB,13
1757257258,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257258,6cd3710eac22,traefik,0.00%,36.6MiB / 3.828GiB,10
1757257258,37f0189a4b42,software_architecture_assigment1-redis-1,1.04%,9.359MiB / 3.828GiB,6
1757257265,9eed660b040b,romantic_almeida,0.74%,13.45MiB / 3.828GiB,13
1757257265,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257265,6cd3710eac22,traefik,0.95%,36.67MiB / 3.828GiB,10
1757257265,37f0189a4b42,software_architecture_assigment1-redis-1,1.22%,9.359MiB / 3.828GiB,6
1757257273,9eed660b040b,romantic_almeida,0.77%,13.46MiB / 3.828GiB,13
1757257273,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257273,6cd3710eac22,traefik,0.00%,36.67MiB / 3.828GiB,10
1757257273,37f0189a4b42,software_architecture_assigment1-redis-1,1.33%,9.359MiB / 3.828GiB,6
1757257281,9eed660b040b,romantic_almeida,0.86%,13.46MiB / 3.828GiB,13
1757257281,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.75MiB / 3.828GiB,14
1757257281,6cd3710eac22,traefik,0.00%,37.27MiB / 3.828GiB,10
1757257281,37f0189a4b42,software_architecture_assigment1-redis-1,1.37%,9.359MiB / 3.828GiB,6
1757257288,9eed660b040b,romantic_almeida,0.83%,13.61MiB / 3.828GiB,13
1757257288,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.77MiB / 3.828GiB,14
1757257288,6cd3710eac22,traefik,0.00%,38.82MiB / 3.828GiB,10
1757257288,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.609MiB / 3.828GiB,6
1757257295,9eed660b040b,romantic_almeida,0.75%,14.76MiB / 3.828GiB,13
1757257295,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.77MiB / 3.828GiB,14
1757257295,6cd3710eac22,traefik,0.00%,38.88MiB / 3.828GiB,10
1757257295,37f0189a4b42,software_architecture_assigment1-redis-1,1.08%,9.359MiB / 3.828GiB,6
1757257303,9eed660b040b,romantic_almeida,0.78%,14.76MiB / 3.828GiB,13
1757257303,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.77MiB / 3.828GiB,14
1757257303,6cd3710eac22,traefik,0.00%,38.88MiB / 3.828GiB,10
1757257303,37f0189a4b42,software_architecture_assigment1-redis-1,1.37%,9.359MiB / 3.828GiB,6
1757257311,9eed660b040b,romantic_almeida,1.60%,14.77MiB / 3.828GiB,13
1757257311,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.77MiB / 3.828GiB,14
1757257311,6cd3710eac22,traefik,0.00%,38.88MiB / 3.828GiB,10
1757257311,37f0189a4b42,software_architecture_assigment1-redis-1,1.34%,9.609MiB / 3.828GiB,6
1757257318,9eed660b040b,romantic_almeida,0.71%,14.77MiB / 3.828GiB,13
1757257318,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.77MiB / 3.828GiB,14
