time,container,name,cpu,mem,pids
1757291318,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.64MiB / 7.654GiB,14
1757291318,873aeb8b5576,software_architecture_assigment1-redis-1,0.82%,3.828MiB / 7.654GiB,6
1757291318,5b646c04a825,traefik,0.99%,29.3MiB / 7.654GiB,12
1757291318,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.84%,1.454GiB / 7.654GiB,113
1757291325,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.64MiB / 7.654GiB,14
1757291325,873aeb8b5576,software_architecture_assigment1-redis-1,0.68%,3.828MiB / 7.654GiB,6
1757291325,5b646c04a825,traefik,0.00%,29.3MiB / 7.654GiB,12
1757291325,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.72%,1.454GiB / 7.654GiB,113
1757291333,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.64MiB / 7.654GiB,14
1757291333,873aeb8b5576,software_architecture_assigment1-redis-1,0.87%,4.082MiB / 7.654GiB,6
1757291333,5b646c04a825,traefik,0.00%,29.74MiB / 7.654GiB,12
1757291333,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.89%,1.454GiB / 7.654GiB,113
1757291333,1e4f248da6ef,elegant_germain,1.35%,10.39MiB / 7.654GiB,11
1757291341,1e4f248da6ef,elegant_germain,0.88%,11.83MiB / 7.654GiB,11
1757291341,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.64MiB / 7.654GiB,14
1757291341,873aeb8b5576,software_architecture_assigment1-redis-1,0.91%,3.828MiB / 7.654GiB,6
1757291341,5b646c04a825,traefik,0.00%,29.74MiB / 7.654GiB,12
1757291341,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.79%,1.454GiB / 7.654GiB,113
1757291347,1e4f248da6ef,elegant_germain,0.81%,11.86MiB / 7.654GiB,11
1757291347,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.64MiB / 7.654GiB,14
1757291347,873aeb8b5576,software_architecture_assigment1-redis-1,1.07%,4.078MiB / 7.654GiB,6
1757291347,5b646c04a825,traefik,0.03%,29.74MiB / 7.654GiB,12
1757291347,c372238b5f0d,software_architecture_assigment1-opensearch-1,1.58%,1.454GiB / 7.654GiB,113
1757291355,1e4f248da6ef,elegant_germain,0.65%,12.05MiB / 7.654GiB,11
1757291355,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.64MiB / 7.654GiB,14
1757291355,873aeb8b5576,software_architecture_assigment1-redis-1,0.77%,3.828MiB / 7.654GiB,6
1757291355,5b646c04a825,traefik,0.00%,29.74MiB / 7.654GiB,12
1757291355,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.99%,1.455GiB / 7.654GiB,113
1757291363,1e4f248da6ef,elegant_germain,0.96%,12.08MiB / 7.654GiB,11
1757291363,33bb883eaea1,software_architecture_assigment1-app-1,0.66%,10.84MiB / 7.654GiB,14
1757291363,873aeb8b5576,software_architecture_assigment1-redis-1,0.82%,4.078MiB / 7.654GiB,6
1757291363,5b646c04a825,traefik,0.78%,29.89MiB / 7.654GiB,12
1757291363,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.95%,1.454GiB / 7.654GiB,113
1757291369,1e4f248da6ef,elegant_germain,0.59%,12.09MiB / 7.654GiB,11
1757291369,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.84MiB / 7.654GiB,14
1757291369,873aeb8b5576,software_architecture_assigment1-redis-1,0.69%,3.828MiB / 7.654GiB,6
1757291369,5b646c04a825,traefik,0.00%,29.89MiB / 7.654GiB,12
1757291369,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.75%,1.454GiB / 7.654GiB,113
1757291377,1e4f248da6ef,elegant_germain,0.64%,12.1MiB / 7.654GiB,11
1757291377,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.84MiB / 7.654GiB,14
1757291377,873aeb8b5576,software_architecture_assigment1-redis-1,0.93%,4.078MiB / 7.654GiB,6
1757291377,5b646c04a825,traefik,0.03%,29.89MiB / 7.654GiB,12
1757291377,c372238b5f0d,software_architecture_assigment1-opensearch-1,1.17%,1.454GiB / 7.654GiB,113
1757291385,1e4f248da6ef,elegant_germain,0.73%,12.1MiB / 7.654GiB,11
1757291385,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.84MiB / 7.654GiB,14
1757291385,873aeb8b5576,software_architecture_assigment1-redis-1,0.91%,4.078MiB / 7.654GiB,6
1757291385,5b646c04a825,traefik,0.00%,29.89MiB / 7.654GiB,12
1757291385,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.86%,1.455GiB / 7.654GiB,113
1757291392,1e4f248da6ef,elegant_germain,0.90%,12.11MiB / 7.654GiB,11
1757291392,33bb883eaea1,software_architecture_assigment1-app-1,0.10%,10.86MiB / 7.654GiB,14
1757291392,873aeb8b5576,software_architecture_assigment1-redis-1,0.75%,4.078MiB / 7.654GiB,6
1757291392,5b646c04a825,traefik,0.52%,29.93MiB / 7.654GiB,12
1757291392,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.97%,1.454GiB / 7.654GiB,113
1757291399,1e4f248da6ef,elegant_germain,0.61%,12.25MiB / 7.654GiB,11
1757291399,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.86MiB / 7.654GiB,14
1757291399,873aeb8b5576,software_architecture_assigment1-redis-1,0.79%,4.078MiB / 7.654GiB,6
1757291399,5b646c04a825,traefik,0.00%,29.93MiB / 7.654GiB,12
1757291399,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.95%,1.454GiB / 7.654GiB,113
1757291407,1e4f248da6ef,elegant_germain,1.40%,12.66MiB / 7.654GiB,11
1757291407,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.86MiB / 7.654GiB,14
1757291407,873aeb8b5576,software_architecture_assigment1-redis-1,0.91%,3.828MiB / 7.654GiB,6
1757291407,5b646c04a825,traefik,4.46%,30.34MiB / 7.654GiB,12
1757291407,c372238b5f0d,software_architecture_assigment1-opensearch-1,1.07%,1.454GiB / 7.654GiB,113
1757291415,1e4f248da6ef,elegant_germain,0.50%,12.66MiB / 7.654GiB,11
1757291415,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.86MiB / 7.654GiB,14
1757291415,873aeb8b5576,software_architecture_assigment1-redis-1,0.98%,4.328MiB / 7.654GiB,6
1757291415,5b646c04a825,traefik,0.00%,30.1MiB / 7.654GiB,12
1757291415,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.64%,1.454GiB / 7.654GiB,113
1757291422,1e4f248da6ef,elegant_germain,0.74%,12.86MiB / 7.654GiB,11
1757291422,33bb883eaea1,software_architecture_assigment1-app-1,0.11%,10.86MiB / 7.654GiB,14
1757291422,873aeb8b5576,software_architecture_assigment1-redis-1,0.94%,4.078MiB / 7.654GiB,6
1757291422,5b646c04a825,traefik,0.45%,28.68MiB / 7.654GiB,12
1757291422,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.91%,1.454GiB / 7.654GiB,113
1757291429,1e4f248da6ef,elegant_germain,0.51%,12.86MiB / 7.654GiB,11
1757291429,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.86MiB / 7.654GiB,14
1757291429,873aeb8b5576,software_architecture_assigment1-redis-1,0.87%,4.328MiB / 7.654GiB,6
1757291429,5b646c04a825,traefik,0.00%,28.67MiB / 7.654GiB,12
1757291429,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.71%,1.454GiB / 7.654GiB,113
1757291437,1e4f248da6ef,elegant_germain,1.26%,12.91MiB / 7.654GiB,11
1757291437,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.86MiB / 7.654GiB,14
1757291437,873aeb8b5576,software_architecture_assigment1-redis-1,0.93%,3.828MiB / 7.654GiB,6
1757291437,5b646c04a825,traefik,0.03%,28.67MiB / 7.654GiB,12
1757291437,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.88%,1.454GiB / 7.654GiB,113
1757291444,1e4f248da6ef,elegant_germain,0.56%,12.91MiB / 7.654GiB,11
1757291444,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.86MiB / 7.654GiB,14
1757291444,873aeb8b5576,software_architecture_assigment1-redis-1,0.89%,4.078MiB / 7.654GiB,6
1757291444,5b646c04a825,traefik,0.00%,28.67MiB / 7.654GiB,12
1757291444,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.88%,1.454GiB / 7.654GiB,113
1757291452,1e4f248da6ef,elegant_germain,0.58%,12.93MiB / 7.654GiB,11
1757291452,33bb883eaea1,software_architecture_assigment1-app-1,0.20%,10.87MiB / 7.654GiB,14
1757291452,873aeb8b5576,software_architecture_assigment1-redis-1,0.84%,3.828MiB / 7.654GiB,6
1757291452,5b646c04a825,traefik,0.26%,28.68MiB / 7.654GiB,12
1757291452,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.75%,1.454GiB / 7.654GiB,113
1757291460,1e4f248da6ef,elegant_germain,0.63%,12.93MiB / 7.654GiB,11
1757291460,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.87MiB / 7.654GiB,14
1757291460,873aeb8b5576,software_architecture_assigment1-redis-1,1.10%,3.828MiB / 7.654GiB,6
1757291460,5b646c04a825,traefik,0.00%,28.68MiB / 7.654GiB,12
1757291460,c372238b5f0d,software_architecture_assigment1-opensearch-1,0.75%,1.454GiB / 7.654GiB,113
1757291467,1e4f248da6ef,elegant_germain,2.01%,12.93MiB / 7.654GiB,11
1757291467,33bb883eaea1,software_architecture_assigment1-app-1,0.00%,10.87MiB / 7.654GiB,14
1757291467,873aeb8b5576,software_architecture_assigment1-redis-1,0.94%,4.078MiB / 7.654GiB,6
1757291467,5b646c04a825,traefik,0.04%,28.68MiB / 7.654GiB,12
