time,container,name,cpu,mem,pids
1757257794,6cd3710eac22,traefik,0.89%,53.72MiB / 3.828GiB,11
1757257794,37f0189a4b42,software_architecture_assigment1-redis-1,1.02%,9.609MiB / 3.828GiB,6
1757257801,c8ad98610be9,mystifying_lumiere,2.42%,15.18MiB / 3.828GiB,13
1757257801,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,10.8MiB / 3.828GiB,14
1757257801,6cd3710eac22,traefik,1.05%,53.71MiB / 3.828GiB,11
1757257801,37f0189a4b42,software_architecture_assigment1-redis-1,1.08%,9.359MiB / 3.828GiB,6
1757257809,c8ad98610be9,mystifying_lumiere,1.55%,15.18MiB / 3.828GiB,13
1757257809,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,10.8MiB / 3.828GiB,14
1757257809,6cd3710eac22,traefik,1.02%,53.7MiB / 3.828GiB,11
1757257809,37f0189a4b42,software_architecture_assigment1-redis-1,1.22%,9.359MiB / 3.828GiB,6
1757257816,c8ad98610be9,mystifying_lumiere,1.64%,15.19MiB / 3.828GiB,13
1757257816,bde3b1a58e27,software_architecture_assigment1-app-1,0.51%,10.8MiB / 3.828GiB,14
1757257816,6cd3710eac22,traefik,1.41%,53.7MiB / 3.828GiB,11
1757257816,37f0189a4b42,software_architecture_assigment1-redis-1,0.95%,9.609MiB / 3.828GiB,6
1757257823,c8ad98610be9,mystifying_lumiere,1.47%,15.34MiB / 3.828GiB,13
1757257823,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.8MiB / 3.828GiB,14
1757257823,6cd3710eac22,traefik,0.92%,53.72MiB / 3.828GiB,11
1757257823,37f0189a4b42,software_architecture_assigment1-redis-1,1.03%,9.859MiB / 3.828GiB,6
1757257831,c8ad98610be9,mystifying_lumiere,1.37%,15.36MiB / 3.828GiB,13
1757257831,bde3b1a58e27,software_architecture_assigment1-app-1,0.50%,10.8MiB / 3.828GiB,14
1757257831,6cd3710eac22,traefik,1.44%,53.71MiB / 3.828GiB,11
1757257831,37f0189a4b42,software_architecture_assigment1-redis-1,0.92%,9.359MiB / 3.828GiB,6
1757257839,c8ad98610be9,mystifying_lumiere,1.59%,15.58MiB / 3.828GiB,13
1757257839,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,10.8MiB / 3.828GiB,14
1757257839,6cd3710eac22,traefik,1.14%,53.7MiB / 3.828GiB,11
1757257839,37f0189a4b42,software_architecture_assigment1-redis-1,1.12%,9.609MiB / 3.828GiB,6
1757257846,c8ad98610be9,mystifying_lumiere,1.51%,15.77MiB / 3.828GiB,13
1757257846,bde3b1a58e27,software_architecture_assigment1-app-1,0.39%,10.8MiB / 3.828GiB,14
1757257846,6cd3710eac22,traefik,0.94%,53.72MiB / 3.828GiB,11
1757257846,37f0189a4b42,software_architecture_assigment1-redis-1,1.09%,9.359MiB / 3.828GiB,6
1757257853,c8ad98610be9,mystifying_lumiere,1.65%,15.46MiB / 3.828GiB,13
1757257853,bde3b1a58e27,software_architecture_assigment1-app-1,0.38%,10.8MiB / 3.828GiB,14
1757257853,6cd3710eac22,traefik,1.15%,53.73MiB / 3.828GiB,11
1757257853,37f0189a4b42,software_architecture_assigment1-redis-1,1.01%,9.359MiB / 3.828GiB,6
1757257861,c8ad98610be9,mystifying_lumiere,1.50%,15.46MiB / 3.828GiB,13
1757257861,bde3b1a58e27,software_architecture_assigment1-app-1,0.44%,10.8MiB / 3.828GiB,14
1757257861,6cd3710eac22,traefik,1.14%,53.71MiB / 3.828GiB,11
1757257861,37f0189a4b42,software_architecture_assigment1-redis-1,1.16%,9.359MiB / 3.828GiB,6
1757257869,c8ad98610be9,mystifying_lumiere,1.38%,15.46MiB / 3.828GiB,13
1757257869,bde3b1a58e27,software_architecture_assigment1-app-1,0.33%,10.8MiB / 3.828GiB,14
1757257869,6cd3710eac22,traefik,0.91%,53.7MiB / 3.828GiB,11
