time,container,name,cpu,mem,pids
1757257387,bde3b1a58e27,software_architecture_assigment1-app-1,0.23%,10.77MiB / 3.828GiB,14
1757257387,6cd3710eac22,traefik,6.74%,38.88MiB / 3.828GiB,10
1757257387,37f0189a4b42,software_architecture_assigment1-redis-1,0.74%,9.613MiB / 3.828GiB,6
1757257387,d896e85e7e16,vibrant_shamir,3.40%,11.24MiB / 3.828GiB,9
1757257394,d896e85e7e16,vibrant_shamir,1.03%,12.43MiB / 3.828GiB,11
1757257394,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.77MiB / 3.828GiB,14
1757257394,6cd3710eac22,traefik,0.02%,38.88MiB / 3.828GiB,10
1757257394,37f0189a4b42,software_architecture_assigment1-redis-1,0.79%,9.609MiB / 3.828GiB,6
1757257402,d896e85e7e16,vibrant_shamir,1.29%,12.39MiB / 3.828GiB,13
1757257402,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.79MiB / 3.828GiB,14
1757257402,6cd3710eac22,traefik,0.00%,38.88MiB / 3.828GiB,10
1757257402,37f0189a4b42,software_architecture_assigment1-redis-1,1.29%,9.609MiB / 3.828GiB,6
1757257409,d896e85e7e16,vibrant_shamir,0.91%,12.41MiB / 3.828GiB,13
1757257409,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257409,6cd3710eac22,traefik,0.00%,38.88MiB / 3.828GiB,10
1757257409,37f0189a4b42,software_architecture_assigment1-redis-1,1.02%,9.359MiB / 3.828GiB,6
1757257417,d896e85e7e16,vibrant_shamir,0.79%,12.46MiB / 3.828GiB,13
1757257417,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257417,6cd3710eac22,traefik,0.02%,38.94MiB / 3.828GiB,11
1757257417,37f0189a4b42,software_architecture_assigment1-redis-1,0.95%,9.359MiB / 3.828GiB,6
1757257425,d896e85e7e16,vibrant_shamir,0.79%,12.48MiB / 3.828GiB,13
1757257425,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257425,6cd3710eac22,traefik,0.00%,38.94MiB / 3.828GiB,11
1757257425,37f0189a4b42,software_architecture_assigment1-redis-1,1.11%,9.609MiB / 3.828GiB,6
1757257432,d896e85e7e16,vibrant_shamir,1.06%,12.48MiB / 3.828GiB,13
1757257432,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257432,6cd3710eac22,traefik,0.00%,38.94MiB / 3.828GiB,11
1757257432,37f0189a4b42,software_architecture_assigment1-redis-1,1.14%,9.609MiB / 3.828GiB,6
1757257440,d896e85e7e16,vibrant_shamir,0.81%,12.73MiB / 3.828GiB,13
1757257440,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257440,6cd3710eac22,traefik,0.00%,38.93MiB / 3.828GiB,11
1757257440,37f0189a4b42,software_architecture_assigment1-redis-1,1.31%,9.609MiB / 3.828GiB,6
1757257447,d896e85e7e16,vibrant_shamir,0.65%,12.75MiB / 3.828GiB,13
1757257447,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257447,6cd3710eac22,traefik,0.01%,38.93MiB / 3.828GiB,11
1757257447,37f0189a4b42,software_architecture_assigment1-redis-1,1.30%,9.609MiB / 3.828GiB,6
1757257455,d896e85e7e16,vibrant_shamir,0.73%,12.5MiB / 3.828GiB,13
1757257455,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257455,6cd3710eac22,traefik,0.02%,38.93MiB / 3.828GiB,11
1757257455,37f0189a4b42,software_architecture_assigment1-redis-1,1.22%,9.359MiB / 3.828GiB,6
1757257462,d896e85e7e16,vibrant_shamir,0.82%,12.54MiB / 3.828GiB,13
1757257462,bde3b1a58e27,software_architecture_assigment1-app-1,0.11%,10.8MiB / 3.828GiB,14
1757257462,6cd3710eac22,traefik,0.00%,38.93MiB / 3.828GiB,11
1757257462,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.359MiB / 3.828GiB,6
1757257470,d896e85e7e16,vibrant_shamir,0.71%,12.63MiB / 3.828GiB,13
1757257470,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257470,6cd3710eac22,traefik,0.00%,38.94MiB / 3.828GiB,11
1757257470,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.609MiB / 3.828GiB,6
1757257477,d896e85e7e16,vibrant_shamir,2.09%,13.11MiB / 3.828GiB,13
1757257477,bde3b1a58e27,software_architecture_assigment1-app-1,0.10%,10.8MiB / 3.828GiB,14
1757257477,6cd3710eac22,traefik,0.41%,38.93MiB / 3.828GiB,11
1757257477,37f0189a4b42,software_architecture_assigment1-redis-1,1.17%,9.359MiB / 3.828GiB,6
1757257485,d896e85e7e16,vibrant_shamir,0.66%,12.89MiB / 3.828GiB,13
1757257485,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257485,6cd3710eac22,traefik,0.02%,38.93MiB / 3.828GiB,11
1757257485,37f0189a4b42,software_architecture_assigment1-redis-1,1.13%,9.609MiB / 3.828GiB,6
1757257492,d896e85e7e16,vibrant_shamir,0.65%,12.91MiB / 3.828GiB,13
1757257492,bde3b1a58e27,software_architecture_assigment1-app-1,0.11%,10.8MiB / 3.828GiB,14
1757257492,6cd3710eac22,traefik,0.29%,38.94MiB / 3.828GiB,11
1757257492,37f0189a4b42,software_architecture_assigment1-redis-1,1.14%,9.359MiB / 3.828GiB,6
1757257500,d896e85e7e16,vibrant_shamir,0.74%,12.99MiB / 3.828GiB,13
1757257500,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.8MiB / 3.828GiB,14
1757257500,6cd3710eac22,traefik,0.00%,38.93MiB / 3.828GiB,11
1757257500,37f0189a4b42,software_architecture_assigment1-redis-1,1.25%,9.359MiB / 3.828GiB,6
1757257507,d896e85e7e16,vibrant_shamir,0.69%,13MiB / 3.828GiB,13
1757257507,bde3b1a58e27,software_architecture_assigment1-app-1,0.05%,10.8MiB / 3.828GiB,14
1757257507,6cd3710eac22,traefik,0.14%,38.93MiB / 3.828GiB,11
1757257507,37f0189a4b42,software_architecture_assigment1-redis-1,0.98%,9.609MiB / 3.828GiB,6
1757257515,d896e85e7e16,vibrant_shamir,0.62%,13MiB / 3.828GiB,13
