time,container,name,cpu,mem,pids
1757258342,bde3b1a58e27,software_architecture_assigment1-app-1,1.14%,10.9MiB / 3.828GiB,14
1757258342,6cd3710eac22,traefik,0.14%,60.29MiB / 3.828GiB,14
1757258342,37f0189a4b42,software_architecture_assigment1-redis-1,1.16%,9.363MiB / 3.828GiB,6
1757258342,32d737e46469,hopeful_einstein,2.40%,13.29MiB / 3.828GiB,10
1757258350,32d737e46469,hopeful_einstein,0.95%,13.68MiB / 3.828GiB,13
1757258350,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.89MiB / 3.828GiB,14
1757258350,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258350,37f0189a4b42,software_architecture_assigment1-redis-1,1.27%,9.359MiB / 3.828GiB,6
1757258358,32d737e46469,hopeful_einstein,0.78%,13.43MiB / 3.828GiB,13
1757258358,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.89MiB / 3.828GiB,14
1757258358,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258358,37f0189a4b42,software_architecture_assigment1-redis-1,1.23%,9.609MiB / 3.828GiB,6
1757258365,32d737e46469,hopeful_einstein,1.22%,13.43MiB / 3.828GiB,13
1757258365,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.89MiB / 3.828GiB,14
1757258365,6cd3710eac22,traefik,0.05%,60.29MiB / 3.828GiB,14
1757258365,37f0189a4b42,software_architecture_assigment1-redis-1,1.07%,9.359MiB / 3.828GiB,6
1757258372,32d737e46469,hopeful_einstein,6.89%,13.7MiB / 3.828GiB,13
1757258372,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.89MiB / 3.828GiB,14
1757258372,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258372,37f0189a4b42,software_architecture_assigment1-redis-1,1.03%,9.609MiB / 3.828GiB,6
1757258379,32d737e46469,hopeful_einstein,0.77%,13.44MiB / 3.828GiB,13
1757258379,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.91MiB / 3.828GiB,14
1757258379,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258379,37f0189a4b42,software_architecture_assigment1-redis-1,1.19%,9.609MiB / 3.828GiB,6
1757258386,32d737e46469,hopeful_einstein,0.67%,13.44MiB / 3.828GiB,13
1757258386,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.91MiB / 3.828GiB,14
1757258386,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258386,37f0189a4b42,software_architecture_assigment1-redis-1,1.36%,9.359MiB / 3.828GiB,6
1757258394,32d737e46469,hopeful_einstein,0.77%,13.51MiB / 3.828GiB,13
1757258394,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.91MiB / 3.828GiB,14
1757258394,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258394,37f0189a4b42,software_architecture_assigment1-redis-1,1.06%,9.609MiB / 3.828GiB,6
1757258401,32d737e46469,hopeful_einstein,2.23%,13.76MiB / 3.828GiB,13
1757258401,bde3b1a58e27,software_architecture_assigment1-app-1,0.32%,10.93MiB / 3.828GiB,14
1757258401,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258401,37f0189a4b42,software_architecture_assigment1-redis-1,1.04%,9.359MiB / 3.828GiB,6
1757258409,32d737e46469,hopeful_einstein,0.76%,13.51MiB / 3.828GiB,13
1757258409,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.93MiB / 3.828GiB,14
1757258409,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258409,37f0189a4b42,software_architecture_assigment1-redis-1,1.23%,9.359MiB / 3.828GiB,6
1757258416,32d737e46469,hopeful_einstein,0.84%,13.66MiB / 3.828GiB,13
1757258416,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.93MiB / 3.828GiB,14
1757258416,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258416,37f0189a4b42,software_architecture_assigment1-redis-1,1.34%,9.359MiB / 3.828GiB,6
1757258424,32d737e46469,hopeful_einstein,1.62%,13.66MiB / 3.828GiB,13
1757258424,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.93MiB / 3.828GiB,14
1757258424,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258424,37f0189a4b42,software_architecture_assigment1-redis-1,1.09%,9.359MiB / 3.828GiB,6
1757258431,32d737e46469,hopeful_einstein,0.88%,13.66MiB / 3.828GiB,13
1757258431,bde3b1a58e27,software_architecture_assigment1-app-1,0.13%,10.94MiB / 3.828GiB,14
1757258431,6cd3710eac22,traefik,0.42%,60.79MiB / 3.828GiB,14
1757258431,37f0189a4b42,software_architecture_assigment1-redis-1,1.37%,9.359MiB / 3.828GiB,6
1757258439,32d737e46469,hopeful_einstein,0.89%,13.66MiB / 3.828GiB,13
1757258439,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.94MiB / 3.828GiB,14
1757258439,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258439,37f0189a4b42,software_architecture_assigment1-redis-1,1.22%,9.859MiB / 3.828GiB,6
1757258446,32d737e46469,hopeful_einstein,0.83%,13.66MiB / 3.828GiB,13
1757258446,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.94MiB / 3.828GiB,14
1757258446,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258446,37f0189a4b42,software_architecture_assigment1-redis-1,1.29%,9.609MiB / 3.828GiB,6
1757258454,32d737e46469,hopeful_einstein,1.66%,13.66MiB / 3.828GiB,13
1757258454,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.94MiB / 3.828GiB,14
1757258454,6cd3710eac22,traefik,0.00%,60.29MiB / 3.828GiB,14
1757258454,37f0189a4b42,software_architecture_assigment1-redis-1,1.42%,9.609MiB / 3.828GiB,6
1757258461,32d737e46469,hopeful_einstein,1.34%,13.91MiB / 3.828GiB,13
1757258461,bde3b1a58e27,software_architecture_assigment1-app-1,0.48%,10.95MiB / 3.828GiB,14
1757258461,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258461,37f0189a4b42,software_architecture_assigment1-redis-1,1.24%,9.609MiB / 3.828GiB,6
1757258469,32d737e46469,hopeful_einstein,0.76%,13.67MiB / 3.828GiB,13
1757258469,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.95MiB / 3.828GiB,14
1757258469,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258469,37f0189a4b42,software_architecture_assigment1-redis-1,1.24%,9.359MiB / 3.828GiB,6
1757258476,32d737e46469,hopeful_einstein,0.80%,13.92MiB / 3.828GiB,13
1757258476,bde3b1a58e27,software_architecture_assigment1-app-1,0.00%,10.95MiB / 3.828GiB,14
1757258476,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757258476,37f0189a4b42,software_architecture_assigment1-redis-1,1.33%,9.359MiB / 3.828GiB,6
1757258484,32d737e46469,hopeful_einstein,0.77%,13.68MiB / 3.828GiB,13
