time,container,name,cpu,mem,pids
1757259253,bde3b1a58e27,software_architecture_assigment1-app-1,1.54%,11.23MiB / 3.828GiB,13
1757259253,6cd3710eac22,traefik,0.44%,60.3MiB / 3.828GiB,14
1757259253,37f0189a4b42,software_architecture_assigment1-redis-1,1.05%,9.363MiB / 3.828GiB,6
1757259253,991e0584b1dd,peaceful_ramanujan,4.26%,13.29MiB / 3.828GiB,9
1757259261,991e0584b1dd,peaceful_ramanujan,2.55%,13.47MiB / 3.828GiB,11
1757259261,bde3b1a58e27,software_architecture_assigment1-app-1,2.13%,10.99MiB / 3.828GiB,13
1757259261,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259261,37f0189a4b42,software_architecture_assigment1-redis-1,1.21%,9.359MiB / 3.828GiB,6
1757259268,991e0584b1dd,peaceful_ramanujan,6.33%,13.88MiB / 3.828GiB,12
1757259268,bde3b1a58e27,software_architecture_assigment1-app-1,1.42%,10.98MiB / 3.828GiB,13
1757259268,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259268,37f0189a4b42,software_architecture_assigment1-redis-1,0.94%,9.609MiB / 3.828GiB,6
1757259275,991e0584b1dd,peaceful_ramanujan,2.92%,13.94MiB / 3.828GiB,12
1757259275,bde3b1a58e27,software_architecture_assigment1-app-1,1.55%,11.23MiB / 3.828GiB,13
1757259275,6cd3710eac22,traefik,0.20%,60.3MiB / 3.828GiB,14
1757259275,37f0189a4b42,software_architecture_assigment1-redis-1,0.93%,9.359MiB / 3.828GiB,6
1757259283,991e0584b1dd,peaceful_ramanujan,3.32%,14.21MiB / 3.828GiB,12
1757259283,bde3b1a58e27,software_architecture_assigment1-app-1,1.18%,10.99MiB / 3.828GiB,13
1757259283,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259283,37f0189a4b42,software_architecture_assigment1-redis-1,0.76%,9.359MiB / 3.828GiB,6
1757259291,991e0584b1dd,peaceful_ramanujan,4.68%,14.05MiB / 3.828GiB,12
1757259291,bde3b1a58e27,software_architecture_assigment1-app-1,1.47%,10.99MiB / 3.828GiB,13
1757259291,6cd3710eac22,traefik,0.00%,60.3MiB / 3.828GiB,14
1757259291,37f0189a4b42,software_architecture_assigment1-redis-1,1.04%,9.609MiB / 3.828GiB,6
1757259298,991e0584b1dd,peaceful_ramanujan,7.65%,14.21MiB / 3.828GiB,13
