time,container,name,cpu,mem,pids
1757258002,bde3b1a58e27,software_architecture_assigment1-app-1,1.05%,10.8MiB / 3.828GiB,14
1757258002,6cd3710eac22,traefik,9.49%,57.97MiB / 3.828GiB,13
1757258002,37f0189a4b42,software_architecture_assigment1-redis-1,1.63%,9.363MiB / 3.828GiB,6
1757258002,7b29f39d4501,awesome_goldberg,3.47%,11.28MiB / 3.828GiB,9
1757258010,7b29f39d4501,awesome_goldberg,4.13%,12.26MiB / 3.828GiB,10
1757258010,bde3b1a58e27,software_architecture_assigment1-app-1,1.65%,10.8MiB / 3.828GiB,14
1757258010,6cd3710eac22,traefik,3.76%,58.02MiB / 3.828GiB,13
1757258010,37f0189a4b42,software_architecture_assigment1-redis-1,1.01%,9.359MiB / 3.828GiB,6
1757258017,7b29f39d4501,awesome_goldberg,2.90%,12.62MiB / 3.828GiB,11
1757258017,bde3b1a58e27,software_architecture_assigment1-app-1,1.40%,10.8MiB / 3.828GiB,14
1757258017,6cd3710eac22,traefik,3.19%,57.98MiB / 3.828GiB,13
1757258017,37f0189a4b42,software_architecture_assigment1-redis-1,0.78%,9.359MiB / 3.828GiB,6
1757258025,7b29f39d4501,awesome_goldberg,3.08%,14.75MiB / 3.828GiB,12
1757258025,bde3b1a58e27,software_architecture_assigment1-app-1,1.43%,10.8MiB / 3.828GiB,14
1757258025,6cd3710eac22,traefik,3.29%,58.01MiB / 3.828GiB,13
1757258025,37f0189a4b42,software_architecture_assigment1-redis-1,1.04%,9.609MiB / 3.828GiB,6
1757258033,7b29f39d4501,awesome_goldberg,3.76%,15.42MiB / 3.828GiB,12
1757258033,bde3b1a58e27,software_architecture_assigment1-app-1,1.38%,10.8MiB / 3.828GiB,14
1757258033,6cd3710eac22,traefik,3.41%,58.09MiB / 3.828GiB,13
1757258033,37f0189a4b42,software_architecture_assigment1-redis-1,1.11%,9.359MiB / 3.828GiB,6
1757258039,7b29f39d4501,awesome_goldberg,3.36%,15.45MiB / 3.828GiB,13
1757258039,bde3b1a58e27,software_architecture_assigment1-app-1,1.52%,10.8MiB / 3.828GiB,14
1757258039,6cd3710eac22,traefik,4.01%,58.09MiB / 3.828GiB,13
1757258039,37f0189a4b42,software_architecture_assigment1-redis-1,0.83%,9.359MiB / 3.828GiB,6
1757258046,7b29f39d4501,awesome_goldberg,2.88%,15.45MiB / 3.828GiB,13
1757258046,bde3b1a58e27,software_architecture_assigment1-app-1,1.05%,10.8MiB / 3.828GiB,14
1757258046,6cd3710eac22,traefik,2.85%,58.14MiB / 3.828GiB,13
1757258046,37f0189a4b42,software_architecture_assigment1-redis-1,0.65%,9.359MiB / 3.828GiB,6
1757258053,7b29f39d4501,awesome_goldberg,2.65%,16.49MiB / 3.828GiB,13
1757258053,bde3b1a58e27,software_architecture_assigment1-app-1,1.52%,10.8MiB / 3.828GiB,14
1757258053,6cd3710eac22,traefik,3.54%,58.13MiB / 3.828GiB,13
1757258053,37f0189a4b42,software_architecture_assigment1-redis-1,1.01%,9.359MiB / 3.828GiB,6
1757258061,7b29f39d4501,awesome_goldberg,3.54%,16.51MiB / 3.828GiB,13
1757258061,bde3b1a58e27,software_architecture_assigment1-app-1,1.51%,10.8MiB / 3.828GiB,14
1757258061,6cd3710eac22,traefik,3.34%,58.26MiB / 3.828GiB,14
1757258061,37f0189a4b42,software_architecture_assigment1-redis-1,1.07%,9.359MiB / 3.828GiB,6
1757258069,7b29f39d4501,awesome_goldberg,2.86%,17.79MiB / 3.828GiB,13
1757258069,bde3b1a58e27,software_architecture_assigment1-app-1,1.68%,10.8MiB / 3.828GiB,14
1757258069,6cd3710eac22,traefik,3.66%,58.28MiB / 3.828GiB,14
1757258069,37f0189a4b42,software_architecture_assigment1-redis-1,0.98%,9.359MiB / 3.828GiB,6
1757258076,7b29f39d4501,awesome_goldberg,4.26%,17.79MiB / 3.828GiB,13
1757258076,bde3b1a58e27,software_architecture_assigment1-app-1,1.44%,10.8MiB / 3.828GiB,14
1757258076,6cd3710eac22,traefik,3.36%,58.26MiB / 3.828GiB,14
1757258076,37f0189a4b42,software_architecture_assigment1-redis-1,0.98%,9.359MiB / 3.828GiB,6
1757258083,7b29f39d4501,awesome_goldberg,2.83%,17.93MiB / 3.828GiB,13
1757258083,bde3b1a58e27,software_architecture_assigment1-app-1,1.49%,11.05MiB / 3.828GiB,14
1757258083,6cd3710eac22,traefik,3.68%,58.33MiB / 3.828GiB,14
1757258083,37f0189a4b42,software_architecture_assigment1-redis-1,0.88%,9.359MiB / 3.828GiB,6
1757258091,7b29f39d4501,awesome_goldberg,2.84%,17.95MiB / 3.828GiB,13
1757258091,bde3b1a58e27,software_architecture_assigment1-app-1,1.47%,10.8MiB / 3.828GiB,14
1757258091,6cd3710eac22,traefik,3.37%,58.57MiB / 3.828GiB,14
1757258091,37f0189a4b42,software_architecture_assigment1-redis-1,1.15%,9.359MiB / 3.828GiB,6
1757258098,7b29f39d4501,awesome_goldberg,3.83%,17.97MiB / 3.828GiB,13
1757258098,bde3b1a58e27,software_architecture_assigment1-app-1,1.24%,10.8MiB / 3.828GiB,14
1757258098,6cd3710eac22,traefik,4.00%,58.32MiB / 3.828GiB,14
1757258098,37f0189a4b42,software_architecture_assigment1-redis-1,1.18%,9.359MiB / 3.828GiB,6
1757258106,7b29f39d4501,awesome_goldberg,3.12%,17.97MiB / 3.828GiB,13
1757258106,bde3b1a58e27,software_architecture_assigment1-app-1,1.59%,10.8MiB / 3.828GiB,14
1757258106,6cd3710eac22,traefik,3.30%,58.57MiB / 3.828GiB,14
1757258106,37f0189a4b42,software_architecture_assigment1-redis-1,1.00%,9.359MiB / 3.828GiB,6
1757258114,7b29f39d4501,awesome_goldberg,5.14%,18.01MiB / 3.828GiB,13
1757258114,bde3b1a58e27,software_architecture_assigment1-app-1,1.60%,10.8MiB / 3.828GiB,14
1757258114,6cd3710eac22,traefik,3.69%,58.34MiB / 3.828GiB,14
1757258114,37f0189a4b42,software_architecture_assigment1-redis-1,0.98%,9.359MiB / 3.828GiB,6
1757258121,7b29f39d4501,awesome_goldberg,2.57%,18.04MiB / 3.828GiB,13
1757258121,bde3b1a58e27,software_architecture_assigment1-app-1,1.44%,10.8MiB / 3.828GiB,14
1757258121,6cd3710eac22,traefik,3.54%,58.59MiB / 3.828GiB,14
1757258121,37f0189a4b42,software_architecture_assigment1-redis-1,0.99%,9.359MiB / 3.828GiB,6
1757258129,7b29f39d4501,awesome_goldberg,3.52%,18.04MiB / 3.828GiB,13
1757258129,bde3b1a58e27,software_architecture_assigment1-app-1,1.66%,11.05MiB / 3.828GiB,14
1757258129,6cd3710eac22,traefik,11.93%,58.36MiB / 3.828GiB,14
